epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.491,1.43544,3.21837,1.57186,0.8114,0.18075,0.26008,0.14408,1.5052,3.91436,1.72538,0.00054784,0.00054784,0.00054784
2,578.808,1.49651,2.65355,1.5797,0.26458,0.27163,0.19145,0.10118,1.77436,4.84189,2.01946,0.00108166,0.00108166,0.00108166
3,863.007,1.44569,2.30831,1.56786,0.39926,0.34914,0.3677,0.23327,1.39023,3.4817,1.55507,0.00159347,0.00159347,0.00159347
4,1145.51,1.4152,2.03672,1.51997,0.02541,0.33376,0.01545,0.00684,1.98649,13.1129,2.06286,0.00156798,0.00156798,0.00156798
5,1430.32,1.38333,1.86654,1.52036,0.52498,0.45087,0.48503,0.29191,1.39374,2.09884,1.52127,0.00153497,0.00153497,0.00153497
6,1713.98,1.36731,1.74872,1.4926,0.45009,0.50693,0.45579,0.27165,1.41111,2.1032,1.58816,0.00150197,0.00150197,0.00150197
7,1997.56,1.32094,1.68018,1.48462,0.65234,0.48599,0.54604,0.34288,1.34423,1.74693,1.50974,0.00146896,0.00146896,0.00146896
8,2283.86,1.30471,1.63714,1.45327,0.60203,0.60473,0.56905,0.34888,1.36293,1.46873,1.51612,0.00143595,0.00143595,0.00143595
9,2569.48,1.26483,1.55956,1.41976,0.65459,0.66145,0.65881,0.42857,1.21463,1.34194,1.37773,0.00140295,0.00140295,0.00140295
10,2851.18,1.2523,1.45537,1.40273,0.63902,0.631,0.65915,0.43173,1.20824,1.33692,1.4132,0.00136994,0.00136994,0.00136994
11,3134.08,1.29129,1.51843,1.44794,0.62969,0.60029,0.62108,0.4206,1.19245,1.56086,1.35031,0.00133693,0.00133693,0.00133693
12,3416.88,1.21946,1.44455,1.37067,0.62596,0.57827,0.62428,0.42187,1.26537,1.31882,1.44039,0.00130393,0.00130393,0.00130393
13,3702.37,1.20562,1.41918,1.37622,0.60404,0.64246,0.65182,0.44283,1.14476,1.21521,1.32962,0.00127092,0.00127092,0.00127092
14,3989.92,1.19325,1.35682,1.37291,0.59736,0.65209,0.644,0.43656,1.12088,1.23602,1.33159,0.00123791,0.00123791,0.00123791
15,4273.92,1.15341,1.3193,1.35592,0.71867,0.6589,0.71113,0.48369,1.15532,1.17779,1.34278,0.00120491,0.00120491,0.00120491
16,4560.09,1.18133,1.33993,1.35045,0.65604,0.62511,0.65225,0.43834,1.21365,1.33384,1.36224,0.0011719,0.0011719,0.0011719
17,4843.35,1.15518,1.27378,1.34565,0.65507,0.66734,0.64534,0.43421,1.11501,1.15812,1.3021,0.00113889,0.00113889,0.00113889
18,5129.33,1.17526,1.28122,1.3502,0.62384,0.62347,0.63284,0.44516,1.15592,1.27885,1.33381,0.00110589,0.00110589,0.00110589
19,5412.89,1.15191,1.2352,1.3303,0.72605,0.6697,0.71231,0.48957,1.16531,1.30616,1.33416,0.00107288,0.00107288,0.00107288
20,5701.49,1.11918,1.20598,1.29546,0.70391,0.62702,0.68555,0.47402,1.07433,1.11651,1.30069,0.00103987,0.00103987,0.00103987
21,5984.53,1.12664,1.20313,1.30314,0.71682,0.65863,0.70795,0.49562,1.11855,1.06903,1.28917,0.00100687,0.00100687,0.00100687
22,6270.58,1.09708,1.19536,1.28954,0.71146,0.63432,0.68981,0.45655,1.17535,1.17508,1.35938,0.000973861,0.000973861,0.000973861
23,6555.62,1.10146,1.18562,1.30933,0.67152,0.68881,0.71181,0.47401,1.20082,1.12699,1.37083,0.000940855,0.000940855,0.000940855
24,6842.71,1.09108,1.14533,1.29671,0.73966,0.6839,0.75272,0.53769,1.01463,1.03897,1.24136,0.000907848,0.000907848,0.000907848
25,7125.75,1.08871,1.17816,1.30413,0.68652,0.77447,0.74597,0.50872,1.10075,1.01073,1.30552,0.000874842,0.000874842,0.000874842
26,7410.47,1.02995,1.11469,1.24614,0.78278,0.70321,0.77341,0.53923,1.07848,0.95968,1.2981,0.000841835,0.000841835,0.000841835
27,7695.21,1.07662,1.11364,1.29916,0.79198,0.66774,0.76186,0.53981,1.00151,0.96125,1.23037,0.000808828,0.000808828,0.000808828
28,7978.67,1.04792,1.05432,1.26458,0.74619,0.6855,0.72852,0.51445,1.01175,1.00025,1.22793,0.000775822,0.000775822,0.000775822
29,8262.76,1.02503,1.03697,1.23589,0.85914,0.68841,0.77905,0.57064,1.0396,0.90519,1.24225,0.000742815,0.000742815,0.000742815
30,8545.2,1.02441,1.03108,1.24212,0.70982,0.65388,0.71432,0.48956,1.04382,1.07297,1.26355,0.000709809,0.000709809,0.000709809
31,8827.76,1.02871,1.03499,1.24139,0.72285,0.72006,0.73181,0.53096,1.02714,0.96977,1.22939,0.000676802,0.000676802,0.000676802
32,9110.75,0.99621,0.99444,1.22524,0.75787,0.68347,0.75649,0.53704,1.03443,0.95523,1.25516,0.000643795,0.000643795,0.000643795
33,9393.37,0.95598,0.93005,1.18999,0.83802,0.67444,0.7867,0.55684,1.0075,0.91229,1.22004,0.000610789,0.000610789,0.000610789
34,9677.47,0.95975,0.9532,1.20642,0.89609,0.67622,0.81501,0.57531,1.00537,0.82452,1.23384,0.000577782,0.000577782,0.000577782
35,9960.13,0.95164,0.95987,1.19838,0.78747,0.70748,0.77758,0.54863,1.03047,0.91359,1.25227,0.000544776,0.000544776,0.000544776
36,10248.5,0.97771,0.91917,1.2048,0.79041,0.75047,0.81902,0.58782,0.98106,0.858,1.20851,0.000511769,0.000511769,0.000511769
37,10543.1,0.92211,0.91144,1.20145,0.86623,0.71093,0.82616,0.59656,0.98165,0.79602,1.22741,0.000478762,0.000478762,0.000478762
38,10837.8,0.92435,0.87689,1.18073,0.87176,0.7343,0.82752,0.60609,0.9691,0.79146,1.20059,0.000445756,0.000445756,0.000445756
39,11133.6,0.92512,0.86404,1.1816,0.82441,0.73699,0.82462,0.59236,0.96784,0.78635,1.20754,0.000412749,0.000412749,0.000412749
40,11431.2,0.91027,0.84428,1.17444,0.78074,0.77496,0.82731,0.61894,0.94059,0.76352,1.18324,0.000379743,0.000379743,0.000379743
41,11728.4,0.80498,0.72813,1.12051,0.8845,0.72432,0.83476,0.62057,0.91775,0.73295,1.16543,0.000346736,0.000346736,0.000346736
42,12024.5,0.78628,0.67192,1.10521,0.81906,0.75989,0.83999,0.62718,0.90721,0.73276,1.16941,0.000313729,0.000313729,0.000313729
43,12319.5,0.78222,0.65501,1.10354,0.78614,0.7827,0.84162,0.62538,0.94464,0.76563,1.17899,0.000280723,0.000280723,0.000280723
44,12614,0.76915,0.62673,1.09005,0.89163,0.74964,0.86397,0.63892,0.92832,0.69748,1.18155,0.000247716,0.000247716,0.000247716
45,12908.1,0.72724,0.59359,1.06448,0.82551,0.80784,0.86766,0.66497,0.90537,0.66889,1.17742,0.00021471,0.00021471,0.00021471
46,13202.3,0.73399,0.57879,1.06027,0.86819,0.79687,0.87489,0.66288,0.88856,0.65865,1.15236,0.000181703,0.000181703,0.000181703
47,13496.5,0.70152,0.5645,1.0437,0.89362,0.79798,0.88357,0.66768,0.88634,0.64617,1.15414,0.000148696,0.000148696,0.000148696
48,13791.6,0.68586,0.56137,1.03589,0.86979,0.8005,0.87827,0.67158,0.87769,0.63972,1.15736,0.00011569,0.00011569,0.00011569
49,14085.6,0.69746,0.55628,1.05479,0.85517,0.8335,0.88633,0.67609,0.88722,0.62674,1.16488,8.26832e-05,8.26832e-05,8.26832e-05
50,14378.9,0.68624,0.53546,1.04745,0.90264,0.82058,0.88408,0.68253,0.86521,0.62556,1.14791,4.96766e-05,4.96766e-05,4.96766e-05
