epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,456.546,1.44325,3.05666,1.58429,0.36488,0.03846,0.22791,0.13075,1.47138,3.88177,1.60035,0.00054784,0.00054784,0.00054784
2,931.082,1.38782,2.48286,1.54686,0.30864,0.3608,0.24911,0.1335,1.5639,3.74604,1.79733,0.00108166,0.00108166,0.00108166
3,1408.2,1.46732,2.28465,1.61154,0.71569,0.21302,0.26684,0.14612,1.52856,5.0313,1.81949,0.00159347,0.00159347,0.00159347
4,1878.07,1.41302,2.01156,1.54885,0.39559,0.49689,0.33752,0.18112,1.4321,3.99145,1.58159,0.00156798,0.00156798,0.00156798
5,2337.84,1.36221,1.79702,1.50093,0.46639,0.57333,0.50846,0.29641,1.36725,1.87787,1.55008,0.00153497,0.00153497,0.00153497
6,2785.86,1.32736,1.72422,1.49183,0.53042,0.57305,0.48941,0.29864,1.34492,1.81143,1.5296,0.00150197,0.00150197,0.00150197
7,3230.6,1.32272,1.63378,1.48523,0.65248,0.57572,0.59738,0.3769,1.25057,1.53714,1.44869,0.00146896,0.00146896,0.00146896
8,3666.14,1.25126,1.55251,1.43773,0.61301,0.5491,0.58085,0.36441,1.29254,2.40392,1.47561,0.00143595,0.00143595,0.00143595
9,4119,1.27349,1.59519,1.47432,0.61581,0.62299,0.61713,0.39288,1.25911,1.41352,1.44798,0.00140295,0.00140295,0.00140295
10,4548.27,1.24452,1.52028,1.44813,0.67852,0.62973,0.6275,0.4003,1.18736,1.35743,1.4139,0.00136994,0.00136994,0.00136994
11,4984.86,1.22666,1.50512,1.43792,0.6491,0.64311,0.6545,0.42766,1.23419,1.301,1.42431,0.00133693,0.00133693,0.00133693
12,5421.03,1.21032,1.47336,1.42024,0.57109,0.60745,0.62384,0.39071,1.25867,1.5523,1.45769,0.00130393,0.00130393,0.00130393
13,5865.86,1.19923,1.3793,1.39564,0.65229,0.6695,0.66937,0.44351,1.14788,1.26557,1.36172,0.00127092,0.00127092,0.00127092
14,6313.39,1.15095,1.33335,1.37628,0.65191,0.65527,0.6766,0.44348,1.20012,1.28655,1.41003,0.00123791,0.00123791,0.00123791
15,6755.8,1.15871,1.31466,1.36614,0.74431,0.47719,0.56932,0.36732,1.27699,1.62395,1.49832,0.00120491,0.00120491,0.00120491
16,7185.92,1.15003,1.30518,1.36022,0.66369,0.58153,0.61337,0.40981,1.20411,1.39224,1.42344,0.0011719,0.0011719,0.0011719
17,7621.49,1.11831,1.27951,1.3368,0.79408,0.61962,0.72028,0.48925,1.09226,1.21157,1.3397,0.00113889,0.00113889,0.00113889
18,8062.51,1.11474,1.25455,1.34664,0.62171,0.6297,0.673,0.46864,1.08456,1.23406,1.32366,0.00110589,0.00110589,0.00110589
19,8497.81,1.1171,1.2196,1.31901,0.70216,0.66688,0.70642,0.48283,1.12046,1.15068,1.33592,0.00107288,0.00107288,0.00107288
20,8939.57,1.08394,1.17578,1.32633,0.80809,0.61582,0.72605,0.49945,1.09092,1.08835,1.30164,0.00103987,0.00103987,0.00103987
21,9386.66,1.0724,1.15925,1.32125,0.78282,0.6298,0.71065,0.49837,1.10184,1.12248,1.3312,0.00100687,0.00100687,0.00100687
22,9838.69,1.07663,1.13674,1.29787,0.79463,0.68976,0.76573,0.51212,1.13225,1.03359,1.34891,0.000973861,0.000973861,0.000973861
23,10284.8,1.08542,1.16926,1.30326,0.79993,0.68471,0.76375,0.54076,1.04109,1.02078,1.2725,0.000940855,0.000940855,0.000940855
24,10731.5,1.03863,1.07111,1.27138,0.79363,0.67789,0.74238,0.51519,1.09504,1.04264,1.33221,0.000907848,0.000907848,0.000907848
25,11180.5,1.0493,1.06001,1.28907,0.76311,0.68825,0.74433,0.52274,1.05271,1.01062,1.29601,0.000874842,0.000874842,0.000874842
26,11625.8,0.99602,1.01871,1.26115,0.72744,0.7122,0.77323,0.53611,1.08409,0.95863,1.32556,0.000841835,0.000841835,0.000841835
27,12068.5,1.01158,1.02905,1.26217,0.81445,0.71994,0.78402,0.55669,1.02443,0.94821,1.2824,0.000808828,0.000808828,0.000808828
